Airline Code,Flight Number,Flight Status,Aircraft Code,Aircraft Name,Duration Minutes,Departure Airport Code,Departure Airport,Departure City,Departure Terminal,Departure Time,Estimated Departure,Arrival Airport Code,Arrival Airport,Arrival City,Arrival Terminal,Arrival Time,Estimated Arrival,Booking Classes,Captured URL,Captured At
VN,503,arrived,321,AIRBUS A321,185.0,CAN,BAIYUN INTL,GUANGZHOU,2,2026-05-10T15:04:00,2026-05-10T15:15:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T16:54:00,2026-05-10T17:20:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=503&departureDate=2026-05-10,
VN,506,arrived,321,AIRBUS A321,115.0,HAN,NOI BAI INTL,HANOI,2,2026-05-10T12:12:00,2026-05-10T12:25:00,CAN,BAIYUN INTL,GUANGZHOU,2,2026-05-10T14:46:00,2026-05-10T15:20:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=506&departureDate=2026-05-10,
VN,512,arrived,321,AIRBUS A321,220.0,HAN,NOI BAI INTL,HANOI,2,2026-05-10T09:57:00,2026-05-10T10:05:00,PEK,CAPITAL INTL,BEIJING,2,2026-05-10T14:30:00,2026-05-10T14:45:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=512&departureDate=2026-05-10,
VN,513,arrived,321,AIRBUS A321,235.0,PEK,CAPITAL INTL,BEIJING,2,2026-05-10T15:21:00,2026-05-10T15:45:00,HAN,NOI BAI INTL,HANOI,2,2026-05-10T18:06:00,2026-05-10T18:40:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=513&departureDate=2026-05-10,
VN,516,arrived,321,AIRBUS A321,295.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T00:47:00,2026-05-10T00:35:00,PKX,DAXING INTL,BEIJING,,2026-05-10T06:44:00,2026-05-10T06:30:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=516&departureDate=2026-05-10,
VN,517,arrived,321,AIRBUS A321,305.0,PKX,DAXING INTL,BEIJING,,2026-05-10T08:21:00,2026-05-10T08:30:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T12:20:00,2026-05-10T12:35:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=517&departureDate=2026-05-10,
VN,524,arrived,350,AIRBUS INDUSTRIE A350,260.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T07:27:00,2026-05-10T07:20:00,PVG,PUDONG INTL,SHANGHAI,1,2026-05-10T12:26:00,2026-05-10T12:40:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=524&departureDate=2026-05-10,
VN,525,arrived,350,AIRBUS INDUSTRIE A350,260.0,PVG,PUDONG INTL,SHANGHAI,1,2026-05-10T15:03:00,2026-05-10T15:10:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T18:16:00,2026-05-10T18:30:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=525&departureDate=2026-05-10,
VN,532,arrived,321,AIRBUS A321,195.0,HAN,NOI BAI INTL,HANOI,2,2026-05-10T10:06:00,2026-05-10T10:10:00,PVG,PUDONG INTL,SHANGHAI,1,2026-05-10T14:10:00,2026-05-10T14:25:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=532&departureDate=2026-05-10,
VN,533,arrived,321,AIRBUS A321,215.0,PVG,PUDONG INTL,SHANGHAI,1,2026-05-10T15:49:00,2026-05-10T15:50:00,HAN,NOI BAI INTL,HANOI,2,2026-05-10T18:36:00,2026-05-10T18:25:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=533&departureDate=2026-05-10,
VN,570,arrived,321,AIRBUS A321,215.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T16:33:00,2026-05-10T16:30:00,TPE,TAIWAN TAOYUAN INTL,TAIPEI,2,2026-05-10T21:05:00,2026-05-10T21:05:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=570&departureDate=2026-05-10,
VN,571,cancelled,321,AIRBUS A321,215.0,TPE,TAIWAN TAOYUAN INTL,TAIPEI,2,2026-05-10T07:45:00,,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T10:20:00,,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=571&departureDate=2026-05-10,
VN,578,arrived,321,AIRBUS A321,170.0,HAN,NOI BAI INTL,HANOI,2,2026-05-10T17:19:00,2026-05-10T17:20:00,TPE,TAIWAN TAOYUAN INTL,TAIPEI,2,2026-05-10T20:56:00,2026-05-10T21:10:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=578&departureDate=2026-05-10,
